Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"BAT1"	"BATTERY-SMD-MY-2032"	"158.5mm"	"-5.84mm"	"158.5mm"	"-5.84mm"	"158.5mm"	"-17.53mm"	"T"	"0"	"MY-2032-10"
"BAT2"	"BATTERY-SMD-MY-2032"	"218.57mm"	"-5.59mm"	"218.57mm"	"-5.59mm"	"218.57mm"	"-17.27mm"	"T"	"0"	"MY-2032-10"
"BUZZER1"	"BUZ-TH_BD14.1-P7.62-D1.0-FD"	"188.72mm"	"45.97mm"	"188.72mm"	"45.97mm"	"184.91mm"	"45.97mm"	"T"	"0"	"4500Hz"
"M1"	"VIBRATING-MOTOR-SMD_3P-C9900001680"	"192.15mm"	"59.44mm"	"192.15mm"	"59.44mm"	"193.68mm"	"61.04mm"	"T"	"0"	"Z3OC1T8219731"
"R3"	"RES-TH_BD2.5-L6.5-P10.50-D0.6"	"206.38mm"	"5.21mm"	"206.38mm"	"5.21mm"	"206.38mm"	"-0.04mm"	"T"	"90"	"220Ω"
"R4"	"RES-TH_BD2.5-L6.5-P10.50-D0.6"	"186.69mm"	"4.83mm"	"186.69mm"	"4.83mm"	"181.44mm"	"4.83mm"	"T"	"0"	"220Ω"
"SW1"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"189.99mm"	"12.07mm"	"189.99mm"	"12.07mm"	"186.74mm"	"14.31mm"	"T"	"0"	"SKHHAKA010"
"SW2"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"187.58mm"	"-2.41mm"	"187.58mm"	"-2.41mm"	"184.33mm"	"-0.16mm"	"T"	"0"	"SKHHAKA010"
"U1"	"LED-TH_BD3.9-P2.54-RD_GREEN"	"210.82mm"	"7.49mm"	"210.82mm"	"7.49mm"	"209.55mm"	"7.49mm"	"T"	"0"	"L-3N4GD"
